,fiyat,sehir,metrekare,Bulunduğu Kat,Oda Sayısı,Bina Yaş,Isıtma Tipi,Binanın Kat Sayısı
2297,1425000.0,denizli,50.0,5.0,2.0,0.0,Kombi Doğalgaz,5
2298,1150000.0,denizli,50.0,2.0,2.0,7.0,Kombi Doğalgaz,5
2301,935000.0,denizli,55.0,1.0,2.0,7.0,Kombi Doğalgaz,3
2303,1150000.0,denizli,54.0,1.0,2.0,7.0,Kombi Doğalgaz,6
2306,1275000.0,denizli,60.0,2.0,2.0,7.0,Kombi Doğalgaz,4
2313,10750004.0,denizli,55.0,2.0,2.0,7.0,Yerden Isıtma,5
2314,1200000.0,denizli,55.0,1.0,2.0,7.0,Kombi Doğalgaz,5
2315,1350000.0,denizli,50.0,2.0,2.0,7.0,Kombi Doğalgaz,5
2320,1100000.0,denizli,50.0,2.0,2.0,7.0,Kombi Doğalgaz,5
2324,10000005.0,denizli,40.0,2.0,2.0,0.0,Kombi Doğalgaz,5
2341,14700005.0,denizli,65.0,2.0,2.0,7.0,Kombi Doğalgaz,5
2357,1195000.0,denizli,45.0,2.0,2.0,0.0,Kombi Doğalgaz,5
2362,1850000.0,denizli,50.0,2.0,2.0,0.0,Kombi Doğalgaz,6
2367,1100000.0,denizli,45.0,1.0,2.0,7.0,Kombi Doğalgaz,5
2368,10480005.0,denizli,50.0,2.0,2.0,7.0,Kombi Doğalgaz,6
2374,1150000.0,denizli,45.0,1.0,2.0,7.0,Kombi Doğalgaz,6
2375,12350002.0,denizli,55.0,2.0,2.0,13.0,Sobalı,3
2378,1375000.0,denizli,50.0,1.0,2.0,7.0,Kombi Doğalgaz,4
2382,1299000.0,denizli,68.0,1.0,2.0,7.0,Kombi Doğalgaz,5
2383,1199000.0,denizli,48.0,2.0,2.0,7.0,Kombi Doğalgaz,6
2384,1299000.0,denizli,48.0,1.0,2.0,0.0,Kombi Doğalgaz,3
2385,979000.0,denizli,45.0,2.0,2.0,7.0,Kombi Doğalgaz,6
2386,839000.0,denizli,48.0,1.0,2.0,0.0,Kombi Doğalgaz,6
2392,1100000.0,denizli,55.0,1.0,2.0,7.0,Klimalı,4
2394,999000.0,denizli,45.0,1.0,2.0,7.0,Klimalı,4
2395,1299000.0,denizli,60.0,2.0,2.0,7.0,Klimalı,3
2419,1145000.0,denizli,50.0,1.0,2.0,7.0,Klimalı,2
2422,1550000.0,denizli,45.0,2.0,2.0,0.0,Klimalı,5
2430,999000.0,denizli,40.0,1.0,2.0,7.0,Klimalı,3
2436,950000.0,denizli,74.0,2.0,2.0,0.0,Klimalı,5
2454,2150000.0,denizli,50.0,1.0,2.0,0.0,Klimalı,3
2455,1425000.0,denizli,55.0,1.0,2.0,7.0,Klimalı,2
2456,1550000.0,denizli,60.0,5.0,2.0,7.0,Klimalı,4
2463,975000.0,denizli,47.0,2.0,2.0,7.0,Klimalı,3
2465,1100000.0,denizli,50.0,2.0,2.0,7.0,Kombi Doğalgaz,4
2490,1350000.0,denizli,95.0,1.0,2.0,0.0,Klimalı,3
2491,1250000.0,denizli,95.0,1.0,2.0,0.0,Klimalı,4
2504,1255000.0,denizli,36.0,2.0,2.0,7.0,Klimalı,4
2505,1400000.0,denizli,40.0,1.0,2.0,7.0,Klimalı,4
2516,1650000.0,denizli,43.0,1.0,2.0,0.0,Klimalı,4
2537,1299000.0,denizli,55.0,1.0,2.0,13.0,Klimalı,2
2538,12300002.0,denizli,64.0,1.0,2.0,7.0,Klimalı,3
2539,1375000.0,denizli,64.0,2.0,2.0,7.0,Klimalı,3
2541,1500000.0,denizli,37.0,1.0,2.0,0.0,Klimalı,7
2544,3300000.0,denizli,86.0,1.0,2.0,0.0,Klimalı,5
2550,1199000.0,denizli,48.0,2.0,2.0,7.0,Klimalı,3
2551,10890005.0,denizli,55.0,1.0,2.0,0.0,Kombi Doğalgaz,5
2552,12300002.0,denizli,65.0,1.0,2.0,25.0,Kombi Doğalgaz,4
2553,1375000.0,denizli,65.0,2.0,2.0,25.0,Klimalı,7
2563,1750000.0,denizli,95.0,2.0,2.0,7.0,Sobalı,4
2566,1300000.0,denizli,50.0,1.0,2.0,13.0,Klimalı,4
2573,1150000.0,denizli,60.0,2.0,2.0,7.0,Yerden Isıtma,2
2576,1150000.0,denizli,60.0,2.0,2.0,7.0,Klimalı,3
2580,1075000.0,denizli,30.0,2.0,2.0,7.0,Klimalı,6
2590,1200000.0,denizli,50.0,1.0,2.0,0.0,Klimalı,4
2592,1250000.0,denizli,50.0,1.0,2.0,13.0,Klimalı,5
2612,1310000.0,denizli,52.0,1.0,2.0,7.0,Klimalı,2
2613,1300000.0,denizli,60.0,2.0,2.0,7.0,Klimalı,3
2620,975000.0,denizli,45.0,2.0,2.0,7.0,Kombi Doğalgaz,4
2625,1800000.0,denizli,50.0,2.0,2.0,0.0,Klimalı,3
2644,1400000.0,denizli,45.0,1.0,2.0,0.0,Klimalı,4
2649,11500002.0,denizli,55.0,1.0,2.0,0.0,Klimalı,5
2657,999000.0,denizli,55.0,1.0,2.0,7.0,Klimalı,5
2665,9400002.0,denizli,40.0,5.0,2.0,7.0,Kombi Doğalgaz,4
2668,9400002.0,denizli,45.0,5.0,2.0,7.0,Klimalı,4
2672,1350000.0,denizli,50.0,2.0,2.0,0.0,Klimalı,5
2678,11250006.0,denizli,45.0,1.0,2.0,7.0,Kombi Doğalgaz,3
2681,3000000.0,denizli,48.0,1.0,2.0,7.0,Klimalı,3
2693,1185000.0,denizli,50.0,2.0,2.0,7.0,Klimalı,5
2705,1149000.0,denizli,45.0,2.0,2.0,7.0,Klimalı,5
2708,1200000.0,denizli,45.0,2.0,2.0,7.0,Klimalı,4
2713,1235000.0,denizli,50.0,1.0,2.0,7.0,Klimalı,3
2714,1235000.0,denizli,50.0,1.0,2.0,7.0,Klimalı,2
2723,1390000.0,denizli,40.0,2.0,2.0,7.0,Klimalı,4
2724,1290000.0,denizli,45.0,1.0,2.0,13.0,Klimalı,4
