,fiyat,sehir,metrekare,Bulunduğu Kat,Oda Sayısı,Tür,Isıtma Tipi,Bina Yaş,Binanın Kat Sayısı
181,3050000,adana,110,8,4,Konut,Kombi Doğalgaz,,11
182,1920000,adana,110,5,4,Konut,Klimalı,0,5
183,4250000,adana,100,,4,Konut,Kombi Doğalgaz,0,2
184,1095000,adana,75,7,2,Konut,Kombi Doğalgaz,0,11
185,1745000,adana,85,11,3,Konut,Kombi Doğalgaz,3,12
186,16500003,adana,75,2,3,Konut,Isıtma Yok,0,14
187,1995000,adana,135,5,4,Konut,Klimalı,25,7
188,2950000,adana,115,,4,Konut,Sobalı,13,2
189,1435000,adana,40,8,2,Konut,Kombi Doğalgaz,3,10
190,3750000,adana,140,,3,Konut,Klimalı,25,2
191,1850000,adana,90,1,3,Konut,Doğalgaz Sobalı,0,10
192,1325000,adana,85,3,,Konut,Merkezi Doğalgaz,7,6
193,1665000,adana,140,3,4,Konut,Klimalı,25,7
194,1795000,adana,155,1,4,Konut,Kombi Doğalgaz,18,8
195,18500002,adana,82,2,3,Konut,Kombi Doğalgaz,0,13
196,3350000,adana,3,,4,Konut,Sobalı,7,1
197,2599000,adana,150,5,4,Konut,Kombi Doğalgaz,25,12
198,2250000,adana,85,5,3,Konut,Merkezi Doğalgaz,0,9
199,2200000,adana,100,1,4,Konut,Kombi Doğalgaz,0,10
200,2690000,adana,130,2,4,Konut,Kombi Doğalgaz,13,10
201,3750000,adana,125,2,4,Konut,Kombi Doğalgaz,7,10
202,1450000,adana,50,1,2,Konut,Doğalgaz Sobalı,0,12
203,1690000,adana,155,5,4,Konut,Klimalı,25,9
204,4100000,adana,148,1,5,Konut,Kombi Doğalgaz,0,8
205,3450000,adana,95,,3,Konut,Klimalı,25,3
206,2700000,adana,115,3,4,Konut,Kombi Doğalgaz,0,9
207,47500007,adana,266,,4,Konut,Klimalı,18,1
208,2290000,adana,150,3,4,Konut,Kombi Doğalgaz,18,10
209,2550000,adana,75,2,3,Konut,Isıtma Yok,4,10
210,2949000,adana,95,2,3,Konut,Klimalı,3,9
211,2349000,adana,130,2,4,Konut,Klimalı,25,5
212,1960000,adana,90,9,3,Konut,Güneş Enerjisi,4,14
213,6750000,adana,170,4,5,Konut,Kombi Doğalgaz,7,15
214,8450000,adana,220,14,5,Konut,Klimalı,25,15
215,1195000,adana,40,1,2,Konut,Kombi Doğalgaz,4,6
216,2290000,adana,160,7,4,Konut,Kombi Doğalgaz,13,11
217,2050000,adana,95,2,3,Konut,Kombi Doğalgaz,7,2
218,6750000,adana,230,4,5,Konut,Kombi Doğalgaz,7,16
219,2950000,adana,108,,3,Konut,Doğalgaz Sobalı,13,3
220,2530000,adana,140,3,4,Konut,Klimalı,7,5
221,1960000,adana,100,3,3,Konut,Klimalı,7,7
222,1650000,adana,105,1,4,Konut,Klimalı,7,4
223,2250000,adana,130,,4,Konut,Klimalı,7,7
224,3000000,adana,132,2,4,Konut,Kombi Doğalgaz,18,10
225,3950000,adana,127,,3,Konut,Sobalı,25,2
226,2950000,adana,120,12,4,Konut,Kombi Doğalgaz,0,13
227,1670000,adana,140,9,4,Konut,Klimalı,18,10
